Disease,Gene,Gene_Name,Age_Of_Onset,Inheritance_Type
Multiple epiphyseal dysplasia-macrocephaly-facial dysmorphism syndrome,KIF7,kinesin family member 7,"Infancy, Neonatal",Autosomal recessive
Brachydactyly-short stature-retinitis pigmentosa syndrome,CWC27,CWC27 spliceosome associated cyclophilin,"Childhood, Infancy",Autosomal recessive
Aspartylglucosaminuria,AGA,aspartylglucosaminidase,Childhood,Autosomal recessive
Multiple sulfatase deficiency,SUMF1,sulfatase modifying factor 1,"Adolescent, Antenatal, Childhood, Infancy, Neonatal",Autosomal recessive
Beta-mannosidosis,MANBA,mannosidase beta,"Adolescent, Adult, Childhood, Infancy, Neonatal",Autosomal recessive
Pontocerebellar hypoplasia type 4,TSEN54,tRNA splicing endonuclease subunit 54,Antenatal,Autosomal recessive
Von Willebrand disease type 1,VWF,von Willebrand factor,All ages,Autosomal dominant
Pontocerebellar hypoplasia type 6,RARS2,"arginyl-tRNA synthetase 2, mitochondrial",Neonatal,Autosomal recessive
Von Willebrand disease type 2A,VWF,von Willebrand factor,,"Autosomal dominant, Autosomal recessive"
Farber disease,ASAH1,N-acylsphingosine amidohydrolase 1,"Antenatal, Childhood, Infancy, Neonatal",Autosomal recessive
Fucosidosis,FUCA1,alpha-L-fucosidase 1,"Childhood, Infancy",Autosomal recessive
Von Willebrand disease type 2M,VWF,von Willebrand factor,,Autosomal dominant
Von Willebrand disease type 2B,VWF,von Willebrand factor,,Autosomal dominant
Glycogen storage disease due to glycogen debranching enzyme deficiency,AGL,"amylo-alpha-1,6-glucosidase and 4-alpha-glucanotransferase","Childhood, Infancy",Autosomal recessive
Von Willebrand disease type 2N,VWF,von Willebrand factor,,Autosomal recessive
Glycogen storage disease due to muscle glycogen phosphorylase deficiency,PYGM,"glycogen phosphorylase, muscle associated","Adolescent, Adult, Childhood",Autosomal recessive
Von Willebrand disease type 3,VWF,von Willebrand factor,"Infancy, Neonatal",Autosomal recessive
Autosomal dominant otospondylomegaepiphyseal dysplasia,COL2A1,collagen type II alpha 1 chain,"Infancy, Neonatal",Autosomal dominant
Autosomal dominant otospondylomegaepiphyseal dysplasia,COL11A2,collagen type XI alpha 2 chain,"Infancy, Neonatal",Autosomal dominant
Glycogen storage disease due to muscle phosphofructokinase deficiency,PFKM,"phosphofructokinase, muscle","Adolescent, Adult, Childhood, Infancy",Autosomal recessive
FASTKD2-related infantile mitochondrial encephalomyopathy,FASTKD2,FAST kinase domains 2,"Adolescent, Infancy, Neonatal",Autosomal recessive
Glycogen storage disease due to liver glycogen phosphorylase deficiency,PYGL,glycogen phosphorylase L,Childhood,Autosomal recessive
Paroxysmal nocturnal hemoglobinuria,PIGA,phosphatidylinositol glycan anchor biosynthesis class A,All ages,Not applicable
Birk-Barel syndrome,KCNK9,potassium two pore domain channel subfamily K member 9,Infancy,Autosomal dominant
Isolated osteopoikilosis,LEMD3,LEM domain containing 3,"Adolescent, Adult, Childhood",Autosomal dominant
Dentinogenesis imperfecta type 2,DSPP,dentin sialophosphoprotein,Childhood,Autosomal dominant
Dentinogenesis imperfecta type 3,DSPP,dentin sialophosphoprotein,Childhood,Autosomal dominant
Odontochondrodysplasia,TRIP11,thyroid hormone receptor interactor 11,"Infancy, Neonatal",Autosomal recessive
Mucolipidosis type II,GNPTAB,N-acetylglucosamine-1-phosphate transferase subunits alpha and beta,"Antenatal, Neonatal",Autosomal recessive
Sialidosis type 1,NEU1,neuraminidase 1,"Adolescent, Childhood",Autosomal recessive
Hereditary sick sinus syndrome,SCN5A,sodium voltage-gated channel alpha subunit 5,"Adult, Elderly","Autosomal dominant, Autosomal recessive"
Hereditary sick sinus syndrome,HCN4,hyperpolarization activated cyclic nucleotide gated potassium channel 4,"Adult, Elderly","Autosomal dominant, Autosomal recessive"
Hereditary sick sinus syndrome,MYH6,myosin heavy chain 6,"Adult, Elderly","Autosomal dominant, Autosomal recessive"
Hereditary sick sinus syndrome,GNB2,G protein subunit beta 2,"Adult, Elderly","Autosomal dominant, Autosomal recessive"
Mucolipidosis type IV,MCOLN1,mucolipin TRP cation channel 1,Infancy,Autosomal recessive
Porokeratotic eccrine ostial and dermal duct nevus,GJB2,gap junction protein beta 2,"Infancy, Neonatal",Not applicable
Recessive X-linked ichthyosis,FLG,filaggrin,Neonatal,X-linked recessive
Recessive X-linked ichthyosis,STS,steroid sulfatase,Neonatal,X-linked recessive
Mucopolysaccharidosis type 7,GUSB,glucuronidase beta,"Adolescent, Antenatal, Childhood, Infancy, Neonatal",Autosomal recessive
Hot water reflex epilepsy,SLC1A1,solute carrier family 1 member 1,All ages,Autosomal dominant
Friedreich ataxia,FXN,frataxin,"Adolescent, Childhood",Autosomal recessive
Cystic fibrosis,SERPINA1,serpin family A member 1,All ages,Autosomal recessive
Cystic fibrosis,SLC26A9,solute carrier family 26 member 9,All ages,Autosomal recessive
Cystic fibrosis,SLC6A14,solute carrier family 6 member 14,All ages,Autosomal recessive
Cystic fibrosis,SLC9A3,solute carrier family 9 member A3,All ages,Autosomal recessive
Cystic fibrosis,CEACAM3,CEA cell adhesion molecule 3,All ages,Autosomal recessive
Cystic fibrosis,CEACAM6,CEA cell adhesion molecule 6,All ages,Autosomal recessive
Cystic fibrosis,EDNRA,endothelin receptor type A,All ages,Autosomal recessive
Cystic fibrosis,GSTM3,glutathione S-transferase mu 3,All ages,Autosomal recessive
Cystic fibrosis,HMOX1,heme oxygenase 1,All ages,Autosomal recessive
Cystic fibrosis,GCLC,glutamate-cysteine ligase catalytic subunit,All ages,Autosomal recessive
Cystic fibrosis,HFE,homeostatic iron regulator,All ages,Autosomal recessive
Cystic fibrosis,CFTR,CF transmembrane conductance regulator,All ages,Autosomal recessive
Cystic fibrosis,TGFB1,transforming growth factor beta 1,All ages,Autosomal recessive
Cystic fibrosis,DCTN4,dynactin subunit 4,All ages,Autosomal recessive
Cystic fibrosis,CLCA4,chloride channel accessory 4,All ages,Autosomal recessive
Cystic fibrosis,STX1A,syntaxin 1A,All ages,Autosomal recessive
Cystic fibrosis,KCNN4,potassium calcium-activated channel subfamily N member 4,All ages,Autosomal recessive
Cystic fibrosis,MIF,macrophage migration inhibitory factor,All ages,Autosomal recessive
Cystic fibrosis,SLC11A1,solute carrier family 11 member 1,All ages,Autosomal recessive
MELAS,MT-TQ,mitochondrially encoded tRNA-Gln (CAA/G),"Adolescent, Adult, Childhood","Mitochondrial inheritance, Not applicable"
MELAS,MT-CO1,mitochondrially encoded cytochrome c oxidase I,"Adolescent, Adult, Childhood","Mitochondrial inheritance, Not applicable"
MELAS,MT-CO2,mitochondrially encoded cytochrome c oxidase II,"Adolescent, Adult, Childhood","Mitochondrial inheritance, Not applicable"
MELAS,MT-CO3,mitochondrially encoded cytochrome c oxidase III,"Adolescent, Adult, Childhood","Mitochondrial inheritance, Not applicable"
MELAS,MT-ND1,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1,"Adolescent, Adult, Childhood","Mitochondrial inheritance, Not applicable"
MELAS,MT-ND4,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4,"Adolescent, Adult, Childhood","Mitochondrial inheritance, Not applicable"
MELAS,MT-ND5,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5,"Adolescent, Adult, Childhood","Mitochondrial inheritance, Not applicable"
MELAS,MT-ND6,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6,"Adolescent, Adult, Childhood","Mitochondrial inheritance, Not applicable"
MELAS,MT-TL1,mitochondrially encoded tRNA-Leu (UUA/G) 1,"Adolescent, Adult, Childhood","Mitochondrial inheritance, Not applicable"
MELAS,MT-TW,mitochondrially encoded tRNA-Trp (UGA/G),"Adolescent, Adult, Childhood","Mitochondrial inheritance, Not applicable"
MELAS,MT-TH,mitochondrially encoded tRNA-His (CAU/C),"Adolescent, Adult, Childhood","Mitochondrial inheritance, Not applicable"
MELAS,MT-TS1,mitochondrially encoded tRNA-Ser (UCN) 1,"Adolescent, Adult, Childhood","Mitochondrial inheritance, Not applicable"
MELAS,MT-TS2,mitochondrially encoded tRNA-Ser (AGU/C) 2,"Adolescent, Adult, Childhood","Mitochondrial inheritance, Not applicable"
MELAS,MT-TF,mitochondrially encoded tRNA-Phe (UUU/C),"Adolescent, Adult, Childhood","Mitochondrial inheritance, Not applicable"
Facioscapulohumeral dystrophy,DNMT3B,DNA methyltransferase 3 beta,All ages,Autosomal dominant
Facioscapulohumeral dystrophy,DUX4,double homeobox 4,All ages,Autosomal dominant
Facioscapulohumeral dystrophy,DUX4L1,double homeobox 4 like 1 (pseudogene),All ages,Autosomal dominant
Facioscapulohumeral dystrophy,FRG1,FSHD region gene 1,All ages,Autosomal dominant
Facioscapulohumeral dystrophy,SMCHD1,structural maintenance of chromosomes flexible hinge domain containing 1,All ages,Autosomal dominant
Kearns-Sayre syndrome,MT-ATP8,mitochondrially encoded ATP synthase membrane subunit 8,"Adolescent, Adult, Childhood, Infancy","Autosomal recessive, Mitochondrial inheritance, Not applicable"
Kearns-Sayre syndrome,RRM2B,ribonucleotide reductase regulatory TP53 inducible subunit M2B,"Adolescent, Adult, Childhood, Infancy","Autosomal recessive, Mitochondrial inheritance, Not applicable"
Kearns-Sayre syndrome,MT-TL1,mitochondrially encoded tRNA-Leu (UUA/G) 1,"Adolescent, Adult, Childhood, Infancy","Autosomal recessive, Mitochondrial inheritance, Not applicable"
MERRF,MT-TP,mitochondrially encoded tRNA-Pro (CCN),"Adult, Childhood",Mitochondrial inheritance
MERRF,MT-ND5,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5,"Adult, Childhood",Mitochondrial inheritance
MERRF,MT-TL1,mitochondrially encoded tRNA-Leu (UUA/G) 1,"Adult, Childhood",Mitochondrial inheritance
